budget,popularity,vote_average,vote_count,revenue,runtime
140000000,54.159392,5.8,1092,431971116,133
144000000,66.21806,5.3,2142,229147509,116
140000000,58.485967,6.4,2482,553799566,151
140000000,91.332849,6,3114,441818803,88
70000000,35.601665,5.5,841,195735876,115
145000000,56.747978,6.7,1603,521170825,95
145000000,77.77477,6.8,3972,694713380,133
145000000,61.788035,7.1,1922,306941670,97
100000000,25.159168,5.9,627,202026112,90
140000000,52.341226,7.3,1895,456758981,154
140000000,101.599427,5.6,1921,268031828,150
150000000,73.616808,7.4,4518,385680446,127
139000000,82.502566,6.8,5265,821708551,121
145000000,100.21391,7.6,3106,609123048,102
140000000,56.257249,5.3,1277,150680864,127
135000000,17.88953,4.9,331,76932943,121
130000000,64.798873,7,2811,185258983,163
140000000,24.855701,6.3,767,285444603,127
137000000,34.981698,5.3,1533,245360480,138
130000000,59.325589,5.4,3025,371876278,110
130000000,21.605568,5.7,434,119269486,124
137000000,26.074908,5.9,433,85131830,106
140000000,74.506246,6.6,7047,370569774,124
135000000,39.604363,6,862,361832400,128
150000000,36.973031,6.9,790,212011111,138
120000000,99.687084,6.1,2553,829000000,115
130000000,17.7735,5.8,373,150406466,100
150000000,62.898336,6.1,3021,163712074,114
140000000,44.19092,6,1000,183345589,120
135000000,100.635882,7.3,6396,532950503,156
135000000,44.765377,6.1,1074,282570682,96
135000000,29.91353,6.6,2051,245724603,107
132000000,84.366984,6.5,1346,373552094,92
70000000,45.381501,7.3,2888,442824138,115
130000000,84.689648,6.9,3145,631744560,90
130000000,120.09361,7,5880,519311965,117
130000000,76.310119,7.4,6495,847423452,146
135000000,63.473086,6.8,1519,368871007,94
132000000,48.572726,6.2,2322,591739379,116
130000000,38.068736,6.3,1564,273339556,147
130000000,20.678787,6.4,451,554987477,90
110000000,48.829437,6.2,2093,293329073,100
125000000,46.115758,5.6,2350,362637473,139
130000000,89.938296,6.7,2061,371940071,107
130000000,79.679601,7.7,5877,789804554,141
130000000,28.840997,6.3,694,49554002,165
130000000,42.840582,5,2532,243843127,100
127500000,26.548594,6.2,542,354248063,82
127000000,115.597753,6.1,1851,349424282,97
130000000,68.757242,6.7,1918,321887208,95
125000000,109.984351,7.5,7006,976475550,152
130000000,39.448066,5.4,1260,61648500,96
140000000,271.972889,7.5,6985,655011224,143
125000000,206.227151,6.6,5584,752100229,123
125000000,45.313197,6.5,2704,767820459,149
103000000,42.40024,6.3,978,500188435,102
110000000,2.871739,6.8,3506,407711549,133
125000000,7.255718,7.1,2438,626137675,130
125000000,81.499621,7,3886,334615000,129
125000000,47.686442,5.6,2233,232713139,106
65000000,43.129703,7.1,1710,261317921,113
160000000,27.220157,6.4,510,61698899,102
130000000,90.33681,6,2651,276572938,120
125000000,50.073575,4.2,1418,238207122,125
123000000,45.419668,6.2,1386,345141403,104
125000000,41.380094,6.2,2392,544272402,124
125000000,54.931334,5.9,1928,546388105,123
120000000,25.752118,6.2,597,325756637,130
130000000,60.810723,5.4,2589,289047763,92
120000000,51.328145,7.2,5797,609016565,127
110000000,46.834704,5.2,1712,228738393,114
120000000,62.641286,5.9,2341,415484914,123
120000000,33.616115,5.2,914,259175788,106
130000000,68.889395,6.3,5080,403170142,124
120000000,27.990284,5.4,613,169956806,78
115000000,67.33767,6.4,3439,286140700,109
105000000,27.835436,6.3,1570,115772733,119
120000000,66.757869,5.7,2342,242688965,102
120000000,17.060695,5.7,354,93945766,135
120000000,11.137655,4.9,223,48668907,121
117000000,44.906918,5.9,1547,261930431,109
120000000,67.698004,6.4,4800,286168572,124
113000000,44.108427,7.1,4116,850000000,140
120000000,43.987061,6.4,3992,649398328,142
115000000,106.815545,7.5,5996,562816256,92
120000000,15.953444,6.3,4053,415440673,126
115000000,54.035265,6.3,4432,924317558,136
135000000,64.183321,6.8,2399,585178928,98
97250400,20.344364,5,471,132900000,116
115000000,18.714197,5.8,341,77628265,134
115000000,60.467984,6,1523,164602163,114
125000000,143.350376,5.8,2636,477200000,101
105000000,110.153618,7.3,5751,716392705,91
116000000,16.90444,5.7,428,178127760,108
135000000,39.873791,5.8,963,245623848,112
120000000,38.126095,4.4,2278,167977596,100
110000000,48.780039,6.3,2862,574480841,108
110000000,100.412364,6,2968,470490832,114
110000000,42.887121,6,925,333011068,119
110000000,23.657284,6.8,1099,215294342,165
110000000,76.840712,6.4,2124,362744280,125
110000000,44.635452,6.5,2965,478207520,120
110000000,103.718387,6.2,3829,295238201,119
116000000,45.616098,7,1489,102000000,170
112000000,22.845143,4.9,621,237382724,85
120000000,31.703608,5.5,1251,227817248,119
110000000,71.510596,6.1,2397,337580051,102
110000000,36.65422,5.5,1179,563749323,103
110000000,19.625972,5.7,389,103951461,76
110000000,86.105615,5.9,1998,179246868,121
110000000,37.195046,6.6,2692,299268508,127
105000000,32.473628,5.5,695,347434178,105
160000000,23.336875,4.1,434,164508066,121
110000000,45.94834,6.6,2303,125537191,114
110000000,48.93337,6.4,2089,383531464,128
93000000,138.049577,8,8705,871368364,178
110000000,22.643776,5.7,672,72178895,120
107000000,18.866672,6.7,447,87713825,157
0,18.251129,4.9,366,0,82
120000000,95.914473,6.7,3793,347234916,115
130000000,44.490453,6.6,1157,211643158,144
133000000,30.475297,5.8,959,300135367,84
105000000,62.479574,6.7,1247,267045765,97
108000000,167.93287,7.6,7268,630161890,141
126000000,37.68056,6.5,1770,162949164,136
90000000,1.004579,3.7,16,10372291,104
90000000,52.995628,6.1,1485,237202299,118
103000000,95.301296,7.9,5439,457640427,155
102000000,65.948959,7.1,2608,358372926,145
100000000,132.397737,7.4,5815,876688482,161
150000000,88.935165,7.3,3855,599045960,144
100000000,51.188633,5.6,1243,362211740,119
100000000,101.74155,7.7,4185,520000000,137
80000000,33.691694,6.5,1344,214104620,140
100000000,42.361215,7.4,1502,266465037,157
115000000,38.729418,6.8,1116,378882411,141
100000000,40.597856,6.2,954,150166126,106
100000000,32.389353,5.4,1060,310650585,98
100000000,24.399642,6.1,1383,170432927,107
100000000,24.507987,5.6,543,242295562,115
100000000,82.121691,7.8,10099,425368238,165
100000000,46.727941,6.8,1129,100138851,91
100000000,51.113717,7.2,1490,169327687,78
100000000,53.732892,6.1,2896,312573423,103
100000000,58.849256,6.4,1926,347451894,131
100000000,30.863434,4.9,967,249288105,104
100000000,31.586215,6.4,572,100086793,101
100000000,36.711378,6.4,1121,268426634,102
100000000,41.426678,6,1699,278731369,103
100000000,20.652943,5.5,482,211989043,121
100000000,52.792678,7.3,2281,170877916,143
100000000,95.007934,7.9,6571,392000694,180
100000000,48.205606,5.2,1498,336529144,121
105000000,58.782359,6.7,1560,121214377,129
102000000,73.872343,6.6,2977,130482868,172
80000000,37.321848,6.5,703,140073390,97
100000000,32.271938,4.2,808,82102379,104
100000000,76.842247,5.6,1680,243400000,99
140000000,38.924136,7.2,948,109578115,95
100000000,19.38841,5.3,381,68688831,102
90000000,61.025639,6.1,1795,206172544,127
105000000,33.507289,5.5,783,133718711,114
84000000,17.815595,3.6,338,0,94
100000000,50.767332,6.5,1276,93820758,122
100000000,12.092241,4.4,142,7103973,95
100000000,30.254021,6.4,717,94882889,115
99000000,34.308098,6.5,604,246233113,88
10000000,3.091077,7.1,73,13835130,110
98000000,41.862983,6,2206,433013274,130
100000000,46.160048,7.1,1910,193772504,167
94000000,12.516546,7.1,187,95311434,145
85000000,23.230851,5.9,601,149044513,85
90000000,19.224754,5.4,334,102000000,93
92000000,44.455166,7.2,1811,172989651,144
0,16.460356,5.6,578,104907746,85
90000000,109.528572,7.3,3885,263920180,126
100000000,18.325897,5.4,426,288347692,146
95000000,37.054554,7,858,76432727,89
95000000,65.229868,6.2,2672,877244782,88
95000000,101.187052,6.7,2374,543514353,105
65000000,29.257137,6.6,1065,93525586,136
94000000,85.688789,7.6,6122,940335536,100
94000000,123.630332,8.1,8064,1118888979,201
79000000,106.914973,8,7487,926287400,179
95000000,63.628459,5.2,957,114178613,102
115000000,41.498631,5.7,2192,274703340,100
100000000,58.991388,5.9,2295,103039258,119
93000000,1.859364,5.7,2077,368780809,92
93000000,138.433168,7,4347,482860185,105
90000000,21.436682,6.3,572,162839667,95
92000000,65.402595,5.2,3493,304654182,98
145000000,10.660441,5.8,106,25819961,137
92000000,77.817571,7.4,5152,631442092,115
98000000,7.029308,5.7,136,10017322,119
95000000,61.121717,6,2010,226497209,118
90000000,104.121555,6.9,4412,589390539,98
90000000,73.575118,7.3,3806,497366869,92
100000000,37.698465,6.3,1165,167805466,98
90000000,35.814765,6.4,1054,347325802,90
100000000,15.835672,6.3,488,155464351,130
100000000,46.781182,6.5,1747,242988466,90
90000000,69.457898,6.5,2271,886686817,94
90000000,43.348022,7,3144,188133322,114
92000000,40.20395,5.6,1232,264105545,98
90000000,63.429157,7.9,4339,289847354,151
90000000,67.427755,7.6,2008,304320254,88
92000000,43.192048,6.5,1667,188072649,107
90000000,47.651083,7.2,2434,232617430,158
90000000,51.881077,6.9,2066,366101666,128
90000000,57.834787,7,5766,524028679,128
100000000,29.608322,5.3,621,94061311,125
120000000,51.548589,6.7,1224,186053725,95
0,27.867368,5.8,428,233755553,92
75000000,38.832842,6.7,1173,200276000,121
90000000,40.597344,5.5,1048,201596308,113
88000000,140.849495,5.6,2513,243637091,105
100000000,34.035114,6.8,1974,235926552,146
90000000,16.302378,5.2,466,182290266,99
90000000,55.249434,7.2,1308,171120329,150
95000000,28.200874,5.6,634,190213455,112
80000000,18.69984,6.2,392,162944923,128
90000000,40.262261,5.9,1648,174578751,106
95000000,56.811056,5.5,1418,156505388,117
90000000,51.535701,6.7,3235,334901337,129
68000000,20.913852,5.9,302,118063304,116
92000000,27.166757,6.8,579,143049560,126
90000000,16.058284,5.7,369,60874615,114
90000000,46.200042,6.5,2166,484635760,96
100000000,24.939295,6.9,963,93700000,131
90000000,19.836124,5.2,376,0,104
90000000,15.350451,5.9,290,140807547,107
100000000,15.625949,6.1,264,35168966,138
20000000,31.802807,6.6,650,79114085,129
88000000,24.100863,7.3,616,108539911,144
90000000,3.593349,5.4,50,16178959,110
87000000,14.824166,6.7,216,148336445,141
92000000,32.079995,6.1,950,494471524,113
90000000,57.739713,7.5,3218,429632142,143
100000000,37.272385,5.9,1410,384335608,108
75000000,53.213931,7.2,2825,288500217,108
85000000,36.38795,6.2,840,315156409,124
85000000,60.929352,7.2,3783,450717150,116
75000000,36.605246,5.6,924,132274484,110
85000000,56.257411,6.8,2566,358375603,91
85000000,29.21998,6.6,1449,340487652,107
85000000,34.773106,6.3,1345,208076205,115
85000000,9.895061,5.1,313,183611771,100
75000000,36.743324,5.8,932,152930623,104
85000000,44.967453,6.7,1225,194168700,136
90000000,41.207568,6.7,1240,250649836,132
85000000,16.479851,6.2,360,219103655,121
85000000,42.069993,6.5,1999,311312624,122
85000000,26.61951,6.1,656,197309027,83
85000000,80.316463,6.9,4663,288747895,139
68000000,41.273567,7.2,999,96976270,131
85000000,24.107835,6.4,514,80916492,104
85000000,32.044191,6.1,712,137298489,130
85000000,16.595874,7.3,652,162242962,145
85000000,8.282876,6.1,1705,158468292,104
0,19.83683,6.7,333,0,97
90000000,36.069611,6.9,1147,142940100,178
85000000,18.827753,5.5,427,78382433,108
0,5.159407,7.3,85,37823676,123
85000000,48.126297,5.5,1114,183018522,106
60000000,38.885195,7.2,2126,47664559,112
60000000,29.211255,5.4,516,74208267,136
84000000,17.783361,4.7,332,123307945,106
84000000,31.435539,5.4,820,275650703,88
50000000,57.673932,6.6,1940,41037742,95
82500000,41.176631,6,2104,237681299,107
8000000,13.661289,6.7,226,21028755,120
85000000,11.77398,4.9,119,112483764,82
85000000,21.218,5.9,1799,222231186,88
85000000,58.57976,6.5,1527,160388063,120
65000000,51.970905,7.3,2023,84785914,157
82000000,18.447479,5.7,595,96085477,123
80000000,109.684788,6.4,3012,484572835,101
80000000,77.580661,6,2926,274470394,103
80000000,75.290998,6.7,2631,457696359,110
75000000,68.550698,6.9,9455,691210692,142
80000000,58.040149,6.2,3739,254455986,102
80000000,59.113174,6.6,1673,280000000,126
80000000,36.32705,6.3,1074,343397247,83
80000000,55.659988,7.1,1314,145771527,85
85000000,14.132583,5.8,288,144000000,97
75000000,34.070054,5.9,855,140464664,120
84000000,44.34333,6.4,1526,0,116
82000000,26.065735,6.2,785,190320568,113
75000000,23.473004,5.4,484,342695435,87
80000000,45.589568,5.8,1155,246984278,100
80000000,23.496054,6,1051,230685453,110
80000000,16.939441,6.3,410,266728738,128
80000000,81.914696,7.8,6336,294804195,138
80000000,19.500893,5.3,331,163733697,88
75000000,29.558157,6,1333,260696994,91
80000000,46.075037,6.8,1583,245676146,138
80000000,23.531721,5.9,901,212874442,99
80000000,49.078546,7.3,1077,181001478,117
80000000,37.02665,6.3,1543,214918407,117
75000000,45.154631,6.5,1270,224012234,115
80000000,46.887983,6.3,1018,178066569,118
79000000,24.598479,6.7,533,173013509,154
80000000,32.363538,6.6,2164,157107755,118
80000000,11.50396,5.3,695,177977226,93
80000000,19.375768,5.2,369,91188905,113
80000000,36.125715,6.5,1288,250200000,88
0,25.450534,5.6,550,0,93
80000000,41.890722,5.2,1043,233093859,104
75000000,22.179658,6.5,431,136982834,135
68000000,139.575085,7.4,3946,211817906,135
70000000,18.264635,5.6,332,164000000,98
80000000,11.187696,5.2,220,201584141,80
80000000,41.670544,7.4,831,122563539,83
80000000,27.46264,5.3,498,169852759,102
80000000,17.455024,5,388,136159423,130
80000000,21.394281,6.2,393,96105964,129
0,0.605645,8,1,0,117
80000000,61.692197,6.7,1497,473226958,89
80000000,14.530946,7,292,90874570,74
80000000,25.978555,5.8,631,123729176,96
90000000,6.643778,5.9,208,0,114
102000000,36.788745,6.1,932,147080413,99
75000000,31.054334,5.9,893,142400065,129
85000000,21.891078,6.8,577,71485043,113
85000000,18.335992,5.2,438,0,90
88000000,40.138009,5.6,818,105316267,118
70000000,44.090535,6.1,1509,101371017,106
0,3.300061,6.4,47,0,81
0,20.632673,6.7,349,43312294,117
80000000,36.664991,5.9,1195,122444772,89
80000000,18.26121,6.9,189,34566746,145
80000000,16.681269,5.8,378,159212469,115
80000000,10.088006,5.2,133,126546518,87
44000000,7.89147,3,255,21400000,118
80000000,16.715631,5.6,297,68514844,90
80000000,9.357734,5.1,165,53825515,112
80000000,11.22268,5.4,318,19480739,116
80000000,14.564667,6.1,299,17626234,177
90000000,11.356079,5.2,305,69131860,92
90000000,52.612025,5.7,1316,146936910,106
80000000,13.800656,5.4,267,33463969,106
86000000,27.097932,6,639,107944236,94
0,10.706613,7.3,111,19406406,84
80000000,7.342892,4.8,111,5989640,110
130000000,50.561849,5.2,1267,117831631,105
8000000,0.719996,5.3,9,0,89
60000000,59.248437,7.7,3009,313542341,135
45000000,90.457886,8,5376,788241776,89
79000000,40.723459,5.8,1030,355692760,94
78000000,41.247402,6.4,915,248384621,95
78000000,10.083905,6.7,1115,209196298,124
100000000,16.759252,6.5,318,108103450,136
79000000,22.132418,4.1,604,149673788,91
76000000,10.520961,6.2,2028,236350661,107
64000000,35.384423,7.6,756,97571250,92
80000000,15.673154,5.7,359,15071514,99
76000000,8.981427,3.9,87,35134820,88
75000000,31.482872,5.9,3462,875958308,87
78000000,47.436675,5.7,1155,179265204,110
76000000,136.886704,7,4637,970761885,98
75000000,60.442593,6.7,3260,816969268,145
73000000,2.502487,6.2,2487,229074524,129
75000000,48.110909,6.6,3237,532680671,86
76000000,35.387874,7.4,2071,69959751,109
75000000,4.66891,6.8,4097,296339527,104
75000000,73.82289,6.4,2528,258270008,110
75000000,51.469576,6.9,1456,335062621,136
80000000,85.115058,6.5,2951,660940780,91
75000000,61.437586,6.6,2105,196482882,99
50000000,31.160542,6.5,709,90450008,117
80000000,15.761384,4.7,183,78000586,114
75000000,17.561955,4.3,318,0,78
75000000,71.124686,7.3,5487,117698894,115
80000000,38.864027,6,1705,271430189,102
60000000,57.753914,7,1910,219417255,128
35000000,13.25753,5.7,202,73034460,100
75000000,13.318744,5.9,283,215663859,124
75000000,18.70031,6.5,338,119000410,102
75000000,47.094369,5.8,1557,367275019,90
70000000,14.486311,6.6,284,154937680,134
53000000,18.61472,5.4,292,95226116,118
70000000,29.035222,6.9,696,130358911,164
70000000,27.055085,6.4,573,85632458,121
75000000,23.004607,5.7,772,98159963,100
75000000,48.744209,7.1,2265,108145109,116
80000000,14.209329,5.8,369,55041367,130
75000000,36.368839,6.3,874,140175006,91
75000000,24.353302,6.2,302,67631903,123
55000000,19.143321,5.9,311,127600435,134
75000000,13.327372,6.4,197,0,148
75000000,37.917002,5.7,880,226904017,110
52000000,23.663713,6.2,512,77944725,113
75000000,14.44381,6.3,313,36754634,94
75000000,10.605084,5,166,51142659,116
75000000,11.873856,6.1,221,14567883,99
0,12.708963,5.8,282,5802422,84
75000000,8.098369,4.3,78,5409517,93
45000000,20.374308,5.7,276,21009180,113
75000000,42.006908,6.9,1946,248118121,106
74000000,875.581305,6.4,4571,1156730962,91
82000000,39.127082,5.9,1623,89792502,110
73000000,20.790703,5.8,327,103891409,98
75000000,18.65988,5.8,476,13100000,134
73000000,45.720894,5.9,1022,349779543,97
70000000,21.789615,5.4,444,111231041,112
75000000,20.199057,5.7,390,61458982,146
70000000,26.123705,6.5,513,86658558,110
72500000,12.599836,6.2,491,162966177,116
70000000,13.543053,4.9,410,176104344,87
72000000,60.722162,7.7,3336,210000000,177
72000000,32.227223,6.6,765,96889998,125
75000000,46.875375,6.9,2264,527068851,87
72000000,11.215702,6.6,188,37317558,152
94000000,8.468586,4.5,179,54744738,116
74500000,8.884318,6.9,180,62172050,109
60000000,27.491891,6.2,1071,256697520,108
71000000,21.462935,5.4,686,294456605,85
72000000,28.848187,6.4,1599,408247917,106
150000000,47.320801,6.7,2988,919838758,93
120000000,82.643036,6.6,3877,461983149,117
70000000,20.230535,5.7,455,309457509,116
70000000,46.217769,5.8,1424,277448382,124
74000000,36.952268,5.8,719,311594032,93
80000000,16.411345,6.4,470,309492681,117
70000000,72.595961,7.9,6430,319131050,153
70000000,33.648404,6.6,1532,300854823,144
70000000,57.69847,6.6,1896,240031094,124
80000000,34.052253,5.8,770,116643346,117
68000000,27.299301,6.5,1078,203388341,136
75000000,20.219385,5.3,409,42285169,110
70000000,42.957216,5.5,1217,171183863,101
75000000,29.412262,5.4,666,443140005,88
75000000,19.708731,6.7,521,114660784,138
70000000,59.428223,6.2,2981,161025640,120
70000000,19.711951,6.3,391,118000000,103
70000000,49.199234,5.5,1448,202466756,116
70000000,46.199482,7.6,1994,122919055,125
0,13.758526,6,216,0,125
66000000,29.505574,7,992,177584879,146
70000000,43.873266,5.8,1523,154984035,118
70000000,24.961625,7.1,808,90000098,139
70000000,23.25645,5.8,493,134748021,133
70000000,64.457947,6.2,2389,215529201,92
70000000,20.089933,6,352,116672912,116
70000000,48.032734,7.1,1184,135560026,127
70000000,16.92991,7,630,131457682,136
70000000,14.780634,5.2,304,67112664,111
70000000,14.086292,5.4,228,65977295,116
60000000,29.261348,5,609,55987321,105
70000000,13.267631,5.2,269,33561137,97
70000000,58.401204,6.1,1862,160112671,88
75000000,23.515938,6,385,59418613,123
70000000,14.244518,5.9,241,32287044,125
66000000,29.501489,6.1,695,57777106,116
0,9.306253,3.4,106,0,98
70000000,8.37378,4.3,97,19924033,91
70000000,10.930537,5.5,179,19870567,97
75000000,10.54544,5.9,228,13596911,95
70000000,6.682006,5.9,43,18662027,88
70000000,46.832372,5.1,826,17752940,133
70000000,24.664776,5.7,439,57958696,107
70000000,13.483387,4.6,180,38629478,114
50000000,44.478043,6.7,1659,122915111,115
70000000,25.020428,4.4,533,61279452,99
68000000,22.392544,5.9,437,193000000,124
68000000,107.069763,5.8,2301,698491347,124
68000000,22.572323,6.7,423,71069884,124
69000000,113.858273,7.1,6478,543513985,95
60000000,10.004564,5.4,222,35431113,103
68000000,68.734513,6.2,2463,217022588,115
70000000,18.888806,6.9,395,39041505,127
68000000,12.948627,5.7,250,29762011,121
36000000,27.11589,5.4,611,83160734,105
90000000,26.153669,7.3,481,60289912,157
80000000,28.223664,6.3,588,52099090,114
70000000,37.507136,6.5,895,113280098,128
69000000,11.023691,5.5,531,86387857,114
69000000,38.634767,5.5,1269,112265139,94
66000000,25.877794,6,602,212404396,112
66000000,18.59991,6.6,488,189198313,121
67000000,12.282911,5,207,25303038,102
70000000,76.041867,7.9,5048,481840909,169
66000000,54.81489,6.1,1520,203277636,130
70000000,31.39165,6.1,992,374111707,127
59000000,99.561972,7.1,3857,383257136,81
68000000,26.792794,5.3,567,75715436,136
65000000,36.307296,6.7,1429,275293450,149
63000000,104.309993,7.9,8907,463517383,136
52000000,68.140214,7.3,1599,355237933,140
65000000,14.646884,5.5,297,172855065,104
61000000,48.356214,7.1,1884,441809770,157
65000000,28.540267,6.3,838,250821495,119
65000000,22.977983,6.5,1062,128107642,98
95000000,31.086791,6.3,1183,250288523,136
65000000,43.865294,6.2,1685,211780824,95
65000000,43.055253,7.3,1400,163442937,137
65000000,15.772081,6.3,403,128884132,130
70000000,26.19909,6.1,588,255000211,112
50000000,22.769108,5.7,453,150270147,108
65000000,18.281798,6,238,69700000,104
63000000,24.697533,5.9,447,162945894,128
65000000,19.718544,6.5,393,0,117
65000000,31.349143,5.9,1743,179379533,83
65000000,27.870312,7.1,1234,162091208,159
65000000,33.439187,6,466,133821816,119
