Cust ID,Name,Street1,Street2,Street3,Street4,City,State,Zip Code,Country,Phone#,Contact ID,Contact Type,Contact Name,Contact Title,Contact Phone,Ext,Contact Fax,Contact Email,Setup Date
ASN,All-Star Nutrition,1200 S. Crystal Lake Drive,,,,Orlando,FL,32806,USA,385-222-5690,1104,CofA,Amy Moore,,,,,amy@myallstarnutrition.com,1/28/2021
AKA,Allison Katseanes,4936 W Red Ruby Ln,,,,Herriman,UT,84096,USA,801-636-4370,713,CofA,Allison Katseanes,,801-636-4370,,,amlstar09@gmail.com,2/14/2020
ALS,ALS Environmental,960 W LeVoy Dr,,,,Salt Lake City,UT,84123,USA,801.904.4300,292,COFA,,,,,,ALSLT.Reporting@alsglobal.com,
ALS,ALS Environmental,960 W LeVoy Dr,,,,Salt Lake City,UT,84123,USA,801.904.4300,893,CofA,Jessica Helland,,,,,Jessica.Helland@ALSGlobal.com,8/12/2020
ARL,Analytical Resource Labs,520 South 850 East Suite B3,,,,Lehi,UT,84043,USA,801.847.7722,293,COFA,,,,,,results@yourqualitylab.com,
ANG,ANG Sciences,"1241 Johnson Avenue, #173",,,,San Luis Obispo,CA,93401,USA,(805) 439-2390,871,CofA,Tokunbo Korede,Operations Manager,(805) 439-2390,,,qc@angsciences.com,8/4/2020
ANG,ANG Sciences,"1241 Johnson Avenue, #173",,,,San Luis Obispo,CA,93401,USA,(805) 439-2390,872,CofA,Greg Wadell,Production Manager,(805) 439-2390,,,qc@angsciences.com,8/4/2020
ANG,ANG Sciences,"1241 Johnson Avenue, #173",,,,San Luis Obispo,CA,93401,USA,(805) 439-2390,883,CofA,Chris Zajac,,,,,qc@angsciences.com,8/10/2020
ANGL,Angel Foods,2085 E La Cresta Drive,,,,Salt Lake City,UT,84121,USA,(801) 243-9558,957,CofA,Nicole Omer,CEO,(801) 243-9558,,,nicole@anutrition.net,10/15/2020
ANGL,Angel Foods,2085 E La Cresta Drive,,,,Salt Lake City,UT,84121,USA,(801) 243-9558,958,CofA,Patrick Omer,COO,(702) 239-1460,,,patrick@anutrition.net,10/15/2020
SPR,AP Sports Regiemen,5249 Hiatus RD,,,,Sunrise,FL,33351,USA,(754) 234-4537,1087,CofA,Brian Ikalina,VP,(754) 234-4537,,,Brian@apsportsregimen.com,1/22/2021
APA,Apotheca Inc,312 Lowrey Dr,,,,Woodbine,IA,51579,,800.736.3130,294,COFA,,,,,,haley.petersen@apothecacompany.com,
APA,Apotheca Inc,312 Lowrey Dr,,,,Woodbine,IA,51579,,800.736.3130,295,COFA,,,,,,Marilyn@Apothecacompany.com,
APA,Apotheca Inc,312 Lowrey Dr,,,,Woodbine,IA,51579,,800.736.3130,296,COFA,,,,,,Sarah.Campbell@Apothecacompany.com,
APF,Applied Food Sciences Inc.,8708 South Congress Bldg 290,,,,Austin,TX,78745,USA,(847) 550-8978,1187,CofA,Chris Fields,,(847) 550-8978,,,cfields@appliedfoods.com,3/9/2021
APF,Applied Food Sciences Inc.,8708 South Congress Bldg 290,,,,Austin,TX,78745,USA,(847) 550-8978,1188,CofA,Yijin Tang,,(309) 716-5833,,,ytang@appliedfoods.com,3/9/2021
APF,Applied Food Sciences Inc.,8708 South Congress Bldg 290,,,,Austin,TX,78745,USA,(847) 550-8978,1189,CofA,Allison Minton,,(512) 732-8300,,,aminton@appliedfoods.com,3/9/2021
AIX,ARIIX LLC,563 W 500 S,Suite 300,,,Bountiful,UT,84010,US,801-813-3000,201,CofA,Jeffrey Smith,Quality Assurance,,,,jeffrey.smith@ariix.com,2/22/2019
ANS,Arizona Nutritional Supplement,210 S Beck Ave,,,,Chandler,AZ,85226,USA,480-966-9630,297,COFA,,,,,,tdecker@aznutritional.com,
ANS,Arizona Nutritional Supplement,210 S Beck Ave,,,,Chandler,AZ,85226,USA,480-966-9630,298,COFA,,,,,,DL-TestResults@aznutritional.com,
ARN,Armada Nutrition,4637 Port Royal Rd,,,,Spring Hill,TN,37174,USA,931.451.7808,299,COFA,,,,,,James.Havican@armadanutrition.com,
ARN,Armada Nutrition,4637 Port Royal Rd,,,,Spring Hill,TN,37174,USA,931.451.7808,300,COFA,,,,,,Dylan.Belew@armadanutrition.com,
ARN,Armada Nutrition,4637 Port Royal Rd,,,,Spring Hill,TN,37174,USA,931.451.7808,301,COFA,,,,,,Brent.Tallman@armadanutrition.com,
ARN,Armada Nutrition,4637 Port Royal Rd,,,,Spring Hill,TN,37174,USA,931.451.7808,760,CofA,,,,,,ted.Parker@armadanutrition.com,4/20/2020
APC,Arnet Pharmaceutical Corp,2525 Davie Road Suite #330,,,,Davie,FL,33317,USA,954-236-9053,302,COFA,,,,,,carolinac@arnetusa.com,
APC,Arnet Pharmaceutical Corp,2525 Davie Road Suite #330,,,,Davie,FL,33317,USA,954-236-9053,303,COFA,,,,,,lab@arnetusa.com,
AXF,Axiom Foods,12100 Wilshire Blvd Suite 800,,,,Los Angeles,CA,90025,,,305,COFA,,,,,,celine@axiomfoods.com,
AXF,Axiom Foods,12100 Wilshire Blvd Suite 800,,,,Los Angeles,CA,90025,,,306,COFA,,,,,,claudia@axiomfoods.com,
BPI,Bactolac Pharmaceutical Inc.,7 Oser Ave.,,,,Hauppauge,NY,11788,USA,631-951-4908,307,COFA,,,,,,praveend@bactolac.com,
BPI,Bactolac Pharmaceutical Inc.,7 Oser Ave.,,,,Hauppauge,NY,11788,USA,631-951-4908,308,COFA,,,,,,vrguduru@bactolac.com,
BCC,Balchem Corporation,3310 West 900 South,,,,Salt Lake City,UT,84104,,801-973-4500,309,COFA,,,,,,lgraves@balchem.com,
BCC,Balchem Corporation,3310 West 900 South,,,,Salt Lake City,UT,84104,,801-973-4500,310,COFA,,,,,,kchupka@balchem.com,
BAR,Basic Research LLC,5742 West Harold Gatty Drive,,,,Salt Lake City,UT,84116,USA,801-517-7000,311,COFA,,,,,,lillian.kalekale@basicresearch.org,
BAR,Basic Research LLC,5742 West Harold Gatty Drive,,,,Salt Lake City,UT,84116,USA,801-517-7000,312,COFA,,,,,,QAVendorDocs@basicresearch.org,
BEE,Beehive Cheese Corporation LLC,2440 E 6600 S Suite #8,,,,Uintah,UT,84405,USA,801-476-0900,313,COFA,,,,,,jeff@beehivecheese.com,
BEE,Beehive Cheese Corporation LLC,2440 E 6600 S Suite #8,,,,Uintah,UT,84405,USA,801-476-0900,314,COFA,,,,,,warren@beehivecheese.com,
BEE,Beehive Cheese Corporation LLC,2440 E 6600 S Suite #8,,,,Uintah,UT,84405,USA,801-476-0900,315,COFA,,,,,,tim@beehivecheese.com,
BEE,Beehive Cheese Corporation LLC,2440 E 6600 S Suite #8,,,,Uintah,UT,84405,USA,801-476-0900,316,COFA,,,,,,carol@beehivecheese.com,
BBI,Before Brands,1160 Chestnut Street,,,,Menlo Park,CA,94025,USA,925-784-4105,658,CofA,,,,,,Amy@beforebrands.com,11/19/2019
BBI,Before Brands,1160 Chestnut Street,,,,Menlo Park,CA,94025,USA,925-784-4105,659,CofA,,,,,,steven.faust@beforebrands.com,11/19/2019
BLF,"BestLife International, Inc",1341 15th ST,,,,Clarkston,WA,99403,,509.751.1161,320,COFA,,,,,,bob@ipg.biz,
BLF,"BestLife International, Inc",1341 15th ST,,,,Clarkston,WA,99403,,509.751.1161,321,COFA,,,,,,sean@ipg.biz,
BLF,"BestLife International, Inc",1341 15th ST,,,,Clarkston,WA,99403,,509.751.1161,322,COFA,,,,,,tish@ipg.biz,
BLF,"BestLife International, Inc",1341 15th ST,,,,Clarkston,WA,99403,,509.751.1161,323,COFA,,,,,,megan@ipg.biz,
BLF,"BestLife International, Inc",1341 15th ST,,,,Clarkston,WA,99403,,509.751.1161,324,COFA,,,,,,kelly@ipg.biz,
BLF,"BestLife International, Inc",1341 15th ST,,,,Clarkston,WA,99403,,509.751.1161,325,COFA,,,,,,oakley@ipg.biz,
NVL,Bettera Brands,14790 Flint Lee Road,,,,Chantilly,VA,20151,US,7032226340,949,CofA,,,,,,ppassin@bettera.com,10/12/2020
NVL,Bettera Brands,14790 Flint Lee Road,,,,Chantilly,VA,20151,US,7032226340,950,CofA,,,,,,jstashick@bettera.com,10/12/2020
NVL,Bettera Brands,14790 Flint Lee Road,,,,Chantilly,VA,20151,US,7032226340,951,CofA,,,,,,mgupta@bettera.com,10/12/2020
NVL,Bettera Brands,14790 Flint Lee Road,,,,Chantilly,VA,20151,US,7032226340,952,CofA,,,,,,mgreenfield@bettera.com,10/12/2020
BBF,BetterBody Foods and Nutrition,1762 W 20 S Suite 100,,,,Lindon,UT,84042,USA,866-404-6582,326,COFA,,,,,,dburnett@betterbodyfoods.com,
B40,Beyond 40,9927 Meadow View Ct,,,,Northville,MI,48167,USA,,780,CofA,Angela Stec,,810-772-1821,,,Angela.stec14@gmail.com,5/19/2020
BES,Bio Energy Systems Inc,105 Bando Lane,,,,Kalispell,MT,59901,USA,406-257-9111,327,COFA,,,,,,brenda@pillmaker.com,
BFD,"Bio-Foods, Ltd.",P.O. Box 622,,,,Pine Brook,NJ,7058,USA,(973) 851-1568,988,CofA,Robert Koetzner,,(973) 851-1568,,,bobkoetzner@aol.com,11/16/2020
BFD,"Bio-Foods, Ltd.",P.O. Box 622,,,,Pine Brook,NJ,7058,USA,(973) 851-1568,989,CofA,Jiangang Li,,(973) 396-2998,,,jimmylibf@yahoo.com,11/16/2020
BCH,BioChroma Analytical Labs,1309 Record Crossing Rd,,,,Dallas,TX,75235,USA,972.454.9166,328,COFA,,,,,,ahoweth@biochromalabs.com,
BCH,BioChroma Analytical Labs,1309 Record Crossing Rd,,,,Dallas,TX,75235,USA,972.454.9166,329,COFA,,,,,,samplemanagement@biochromalabs.com,
BCH,BioChroma Analytical Labs,1309 Record Crossing Rd,,,,Dallas,TX,75235,USA,972.454.9166,330,COFA,,,,,,cturman@biochromalabs.com,
BCH,BioChroma Analytical Labs,1309 Record Crossing Rd,,,,Dallas,TX,75235,USA,972.454.9166,331,COFA,,,,,,accounting@biochromalabs.com,
BIO,BioMatrix International LLC,1620 Central Ave #202,,,,Cheyenne,WY,82001,USA,(800) 570-2000,1252,CofA,Ashley Gallegos,Client Services Manager,(719) 580-6603,,,ashleyg@biomatrixnutrition.com,4/7/2021
BTI,Biotek Inc.,"334 Marshall Way, Suite F",,,,Layton,UT,84041,US,1-800-457-3367,130,CofA,Jim Larsen,Owner,,,,jim@biotekinc.net,9/21/2018
BTI,Biotek Inc.,"334 Marshall Way, Suite F",,,,Layton,UT,84041,US,1-800-457-3367,706,CofA,,,,,,shay@biotekinc.net,2/10/2020
BTR,Biotron Laboratories,750 North 1250 West,,,,Centerville,UT,84014,,801.298.8438,334,COFA,,,,,,daniel@biotronlabs.com,
BTN,BioTrust Nutrition,"500 Corporate Circle, Unit G",,,,Golden,CO,80401,USA,,157,CofA,Clarissa Schneider,,720-468-1053,,,cschneider@biotrust.com,11/27/2018
BTN,BioTrust Nutrition,"500 Corporate Circle, Unit G",,,,Golden,CO,80401,USA,,158,CofA,Kristina Belmont,,,,,rhughes@BIOTrust.com,11/27/2018
BTN,BioTrust Nutrition,"500 Corporate Circle, Unit G",,,,Golden,CO,80401,USA,,335,COFA,,,,,,wwilson@biotrust.com,
BVL,Biovation Labs LLC,2323 S 3600 W,,,,West Valley City,UT,84119,USA,801-825-2075,338,COFA,,,,,,quality@biovationlabs.com,
BVL,Biovation Labs LLC,2323 S 3600 W,,,,West Valley City,UT,84119,USA,801-825-2075,940,CofA,,,,,,nancys@biovationlabs.com,9/28/2020
BVL,Biovation Labs LLC,2323 S 3600 W,,,,West Valley City,UT,84119,USA,801-825-2075,1091,CofA,Ashlie Leishman,,,,,ashliel@biovationlabs.com,1/25/2021
BVL,Biovation Labs LLC,2323 S 3600 W,,,,West Valley City,UT,84119,USA,801-825-2075,1190,CofA,Jesse Kolstad,,,,,jessek@biovationlabs.com,3/9/2021
BVL,Biovation Labs LLC,2323 S 3600 W,,,,West Valley City,UT,84119,USA,801-825-2075,1229,CofA,,,,,,karlas@biovationlabs.com,3/23/2021
BLN,Blend Nation LLC,781 S. Auto Mall Dr.,,,,American Fork,UT,84003,USA,801-8545853,339,COFA,,,,,,gordon@blndnation.com,
BCG,"Blue Chip Group, Inc.",1911 S 3850 W,,,,Salt Lake City,UT,84104,US,801-263-6667x332,207,CofA,Ricardo Suarez,Primary contact,8012636667,332,,ricardo.suarez@bluechipgroup.net,3/25/2019
BCG,"Blue Chip Group, Inc.",1911 S 3850 W,,,,Salt Lake City,UT,84104,US,801-263-6667x332,340,COFA,,,,,,qa@bluechipgroup.net,
BOH,BOH LLC,545 2nd ST #70,,,,Excelsior,MN,55331,USA,(612) 382-9144,812,CofA,Brett Nelson,,(612) 382-9144,,,Brett@northstaringredients.com,6/22/2020
BOP,Bowles Packaging,5455 W. Leo Park Rd,,,,West Jordan,UT,84081,USA,801-280-3501,341,COFA,,,,,,sherry@bowlespackaging.com,
BOP,Bowles Packaging,5455 W. Leo Park Rd,,,,West Jordan,UT,84081,USA,801-280-3501,342,COFA,,,,,,michael@bowlespackaging.com,
BRU,Bruce Remund,,,,,,,,,,343,COFA,,,,,,bruce@detoxify.com,
BBL,"Built Brands, LLC",708 S. Utah Valley Drive,,,,American Fork,UT,84003,USA,801-692-6933,283,CofA,Colin Cox,Purchaser,801-540-1591,,,colin@builtbar.com,11/1/2019
BKU,Bulk It Up Fitness,1937 Rio Lorado Blvd,,,,Frisco,TX,75034,,,253,CofA,Edgar Grigorian,VP of Technical Affairs,801-973-8824,,,edgar.grigorian@dyadlabs.com,8/21/2019
BKU,Bulk It Up Fitness,1937 Rio Lorado Blvd,,,,Frisco,TX,75034,,,254,CofA,Scot Roberts,,,,,scot.roberts@dyadlabs.com,8/21/2019
B360,Bulletproof 360 Inc,1750 112th Avenue NE,Suite C242,,,Bellevue,WA,98004,USA,425-772-4588,345,COFA,,,,,,brady@bulletproof.com,
B360,Bulletproof 360 Inc,1750 112th Avenue NE,Suite C242,,,Bellevue,WA,98004,USA,425-772-4588,346,COFA,,,,,,teju@bulletproof.com,
CJS,C&J Specialties,487 S Main St,,,,Ephraim,UT,84627,USA,801-455-3446,347,COFA,,,,,,boyd@colbyskettlecorn.com,
CAF,Cafe Rio Mexican Grill,215 N Admiral Byrd Rd. Ste 100,,,,Salt Lake City,UT,84116,USA,,788,CofA,,,,,,DHenriquez@caferio.com,6/1/2020
CNU,Calnutri,PO Box 787,,,,Colfax,CA,95713,USA,209-605-3313,348,COFA,,,,,,Mike@calnutri.com,
CNU,Calnutri,PO Box 787,,,,Colfax,CA,95713,USA,209-605-3313,349,COFA,,,,,,david@calnutri.com,
CDA,Candera,215 W 500 N,,,,North Salt Lake,UT,84054,USA,385-300-8085,350,COFA,,,,,,charles@candera.com,
CDA,Candera,215 W 500 N,,,,North Salt Lake,UT,84054,USA,385-300-8085,351,COFA,,,,,,mark@candera.com,
CDA,Candera,215 W 500 N,,,,North Salt Lake,UT,84054,USA,385-300-8085,352,COFA,,,,,,tyler@candera.com,
CDA,Candera,215 W 500 N,,,,North Salt Lake,UT,84054,USA,385-300-8085,353,COFA,,,,,,steve@candera.com,
CDA,Candera,215 W 500 N,,,,North Salt Lake,UT,84054,USA,385-300-8085,354,COFA,,,,,,eric@candera.com,
CPS,Capstone Nutrition,900 S Depot Dr,,,,Ogden,UT,84404,USA,801.337.9400,355,COFA,,,,,,HLau@capstonenutrition.com,
CPS,Capstone Nutrition,900 S Depot Dr,,,,Ogden,UT,84404,USA,801.337.9400,1109,CofA,Sarah Stubbs,,,,,SStubbs@capstonenutrition.com,2/1/2021
CPS,Capstone Nutrition,900 S Depot Dr,,,,Ogden,UT,84404,USA,801.337.9400,1110,CofA,Daniel Hollingshead,,,,,DHollingshead@capstonenutrition.com,2/1/2021
CPS,Capstone Nutrition,900 S Depot Dr,,,,Ogden,UT,84404,USA,801.337.9400,1262,CofA,Tiana Tsosie,,,,,ttsosie@capstonenutrition.com,4/8/2021
CMD,Caputo's Market & Deli,314 W Broadway,,,,Salt Lake City,UT,84101,,801-531-8669,1250,CofA,Antonia Horne,,,,,antonia@caputos.com,4/6/2021
CRF,Care/of,75 Varick Ave,Floor 9,,,New York,NY,10013,USA,408-660-7239,282,CofA,Veronica Kays,QC Manager,408-660-7239,,,Veronica.kays@takecareof.com,10/30/2019
CRF,Care/of,75 Varick Ave,Floor 9,,,New York,NY,10013,USA,408-660-7239,359,COFA,,,,,,sarahh@takecareof.com,
CRF,Care/of,75 Varick Ave,Floor 9,,,New York,NY,10013,USA,408-660-7239,360,COFA,,,,,,jacob.walker@takecareof.com,
CPL,Cascata Packaging LLC,1152 W 2240 S SUITE A,,,,WEST VALLEY,UT,84119,USA,877-353-9475,361,COFA,,,,,,bweimer@cascatapack.com,
CTN,Catalyst Nutraceuticals,1075 Windward Ridge Pkwy,STE 120,,,Alpharetta,GA,30005,USA,(470) 839-8791,1036,CofA,,,,,,laurieb@catalystnutra.com,12/31/2020
CTN,Catalyst Nutraceuticals,1075 Windward Ridge Pkwy,STE 120,,,Alpharetta,GA,30005,USA,(470) 839-8791,1288,CofA,,,,,,maverickb@catalystnutra.com,4/15/2021
CED,Cedar Bear Naturales,92 W Main Street,,,,Vernal,UT,84078,,435.728.2147,682,CofA,,,,,,alex.calder@cedarbear.com,12/18/2019
CAHS,Center for Applied Health Scie,6570 Seville Dr.,2nd Fl.,,,Canfield,OH,44406,USA,(330) 328-1870,830,CofA,Jennifer Sandrock,,(330) 328-1820,,,jh@appliedhealthsciences.org,7/7/2020
CFI,Century Foods International,400 Century Ct.,,,,Sparta,WI,54656,USA,608-269-1900,648,CofA,,,,,,JLWatters@CenturyFoods.com,11/11/2019
CFI,Century Foods International,400 Century Ct.,,,,Sparta,WI,54656,USA,608-269-1900,649,CofA,,,,,,HJGilbertson@CenturyFoods.com,11/11/2019
CWC,Chakra We Care Resources,"A-G-15, Pusat Perniagaan Metro","Square, Jalan PJS 2B/3",,,Petaling Jaya Selangor,,46150,Malaysia,60127101522,674,CofA,Geetha,,60127101522,,,geetha@chakrawecare.com,12/3/2019
CWC,Chakra We Care Resources,"A-G-15, Pusat Perniagaan Metro","Square, Jalan PJS 2B/3",,,Petaling Jaya Selangor,,46150,Malaysia,60127101522,676,CofA,,,,,,nedunseran@chakrawecare.com,12/3/2019
CTC,Churchfield Trading Company,,,,,Santa Ynez,CA,93460,USA,209-605-3313,160,CofA,David Ackerman,President,209-605-3313,,,david@calnutri.com,11/30/2018
CLP,Clinical Products,11861 Westline Industrial DR,Suite 200,,,St Louis,MO,63146,,314.336.0588,366,COFA,,,,,,kdalrymple@extendnutrition.com,
CLP,Clinical Products,11861 Westline Industrial DR,Suite 200,,,St Louis,MO,63146,,314.336.0588,367,COFA,,,,,,crystal@nutribarconf.com,
CLS,CLS Manufacturing,3155 N Hwy 89,,,,Pleasant View,UT,84404,USA,,229,CofA,Quinn Morrill,Quality Manager,385-238-4633,,,qmorrill@cls-mfg.com,5/21/2019
CLS,CLS Manufacturing,3155 N Hwy 89,,,,Pleasant View,UT,84404,USA,,230,CofA,Kellie Turner,Quality Lead,385-238-4633,,,kturner@cls-mfg.com,5/21/2019
CLS,CLS Manufacturing,3155 N Hwy 89,,,,Pleasant View,UT,84404,USA,,368,COFA,,,,,,qmorrill@cls.nfg.com,
CLS,CLS Manufacturing,3155 N Hwy 89,,,,Pleasant View,UT,84404,USA,,369,COFA,,,,,,mquist@cls-mfg.com,
CSI,Compound Solutions,1930 Palomar Point Way,Suite 105,,,Carlsbad,CA,92008,,760.739.9881,370,COFA,,,,,,aevans@compoundsolutions.com,
CSI,Compound Solutions,1930 Palomar Point Way,Suite 105,,,Carlsbad,CA,92008,,760.739.9881,371,COFA,,,,,,kdooley@compoundsolutions.com,
CKT,"Cookietree, Inc",4010 Advantage Circle,,,,Salt Lake City,UT,84104,USA,801-716-4057,372,COFA,,,,,,Steve@cookietree.com,
CRB,Creative Bioscience,4530 S 300 W,,,,Murray,UT,84107,USA,801-590-0830,373,COFA,,,,,,candice.tippets@creativebioscience.com,
CCH,Crown Chocolate,1239 S. Swaner Rd,,,,Salt Lake City,UT,84104,USA,801-467-3050,71,CofA,Gabe Adams,Development,801-467-3050,4,,gabe@crownchocolate.com,5/1/2018
CCH,Crown Chocolate,1239 S. Swaner Rd,,,,Salt Lake City,UT,84104,USA,801-467-3050,1009,CofA,,,,,,microbiologia21@outlook.com,12/1/2020
CCH,Crown Chocolate,1239 S. Swaner Rd,,,,Salt Lake City,UT,84104,USA,801-467-3050,1275,CofA,Luis Caceres,,,,,luis@crownchocolate.com,4/9/2021
CCH,Crown Chocolate,1239 S. Swaner Rd,,,,Salt Lake City,UT,84104,USA,801-467-3050,1276,CofA,Denise Begay,,,,,denise@crownchocolate.com,4/9/2021
CMA,Custom Analytics,3789 Thomas Sumter Hwy,,,,Dalzell,SC,29040,USA,803-499-4469,376,COFA,,,,,,cem@calabs.us,
CMA,Custom Analytics,3789 Thomas Sumter Hwy,,,,Dalzell,SC,29040,USA,803-499-4469,377,COFA,,,,,,infoasst@calabs.us,
CCL,Custom Collagen Inc,1220 W Capitol Drive,,,,Addison,IL,60101,USA,(630) 628-8082,1320,CofA,Taylor Wisnewski,,(630) 628-8082,,,Taylor@customcollagen.com,4/23/2021
CCL,Custom Collagen Inc,1220 W Capitol Drive,,,,Addison,IL,60101,USA,(630) 628-8082,1321,CofA,Alize Carman,QA,(630) 628-8082,,,quality@customcollagen.com,4/23/2021
CYSI,"Cypress Systems, Inc.",40365 Brickyard Drive,Suite 101,,,Madera,CA,93636,US,559-229-7850,378,COFA,,,,,,Roland@CypressIngredients.com,
CYSI,"Cypress Systems, Inc.",40365 Brickyard Drive,Suite 101,,,Madera,CA,93636,US,559-229-7850,379,COFA,,,,,,Paul@CypressIngredients.com,
DEL,De Lune,"1726 U St NW, Apt 4",,,,Washington,DC,20009,USA,914-708-7702,695,CofA,Mimi Millard,CEO,914-708-7702,,,mimi@delune.co,1/30/2020
DEL,De Lune,"1726 U St NW, Apt 4",,,,Washington,DC,20009,USA,914-708-7702,987,CofA,Courtney Mayszak,,,,,courtney@delune.co,11/14/2020
DPE,"Deerland Probiotics & Enzymes,",3800 Cobb International Blvd,,,,Kennesaw,GA,30152,USA,800-697-8179,242,CofA,Ben Richardson,QC Lab Admin,770-701-3084,,,brichardson@deerland.com,7/22/2019
DPE,"Deerland Probiotics & Enzymes,",3800 Cobb International Blvd,,,,Kennesaw,GA,30152,USA,800-697-8179,381,COFA,,,,,,mleroux@deerland.com,
DPE,"Deerland Probiotics & Enzymes,",3800 Cobb International Blvd,,,,Kennesaw,GA,30152,USA,800-697-8179,653,CofA,,,,,,alsmith@deerland.com,11/15/2019
DFH,Designs For Health,90160 Highway 93 North,,,,Arlee,MT,59821,,406.726.3700,382,COFA,,,,,,labresults@designsforhealth.com,
DTXY,Detoxify LLC,Attn: Bruce Remund,3267 E 3300 S #207,,,Salt Lake City,UT,84109,,,383,COFA,,,,,,bruce@detoxify.com,
DFS,DFS Gourmet,PO Box 711146,,,,Salt Lake City,UT,84171-1146,United States,801.938.0909,384,CofA,,,,,,danielzank@chefshamy.com,
DFS,DFS Gourmet,PO Box 711146,,,,Salt Lake City,UT,84171-1146,United States,801.938.0909,385,CofA,,,,,,alancrapo@chefshamy.com,
DFS,DFS Gourmet,PO Box 711146,,,,Salt Lake City,UT,84171-1146,United States,801.938.0909,647,CofA,,,,,,jesse.kropf@chefshamy.com,11/11/2019
DFS,DFS Gourmet,PO Box 711146,,,,Salt Lake City,UT,84171-1146,United States,801.938.0909,715,CofA,,,,,,austinrasmussen@chefshamy.com,2/18/2020
DGU,Diet Guru's,8915 Grand Blvd,,,,Golden,CO,80402,,,253,CofA,Edgar Grigorian,VP of Technical Affairs,801-973-8824,,,edgar.grigorian@dyadlabs.com,8/21/2019
DGU,Diet Guru's,8915 Grand Blvd,,,,Golden,CO,80402,,,254,CofA,Scot Roberts,,,,,scot.roberts@dyadlabs.com,8/21/2019
DGU,Diet Guru's,8915 Grand Blvd,,,,Golden,CO,80402,,,1038,CofA,,,,,,uri.hong@dyadlabs.com,1/5/2021
DXY,Dioxyme,12751 S Cleveland Ave #102,,,,Fort Myers,FL,33907,USA,239-229-8414,386,COFA,,,,,,maxtaylor@dioxyme.com,
